iter	Passed	Remaining
0	52	52143
1	70	35060
2	88	29550
3	105	26353
4	124	24735
5	142	23633
6	162	23069
7	182	22630
8	201	22136
9	220	21845
10	237	21370
11	256	21146
12	277	21032
13	295	20827
14	313	20595
15	331	20405
16	349	20228
17	368	20084
18	386	19953
19	404	19804
20	421	19657
21	440	19564
22	458	19477
23	475	19343
24	493	19258
25	511	19171
26	528	19040
27	545	18937
28	564	18893
29	581	18811
30	599	18752
31	617	18677
32	635	18629
33	652	18546
34	670	18478
35	689	18465
36	708	18432
37	726	18395
38	743	18315
39	760	18240
40	777	18194
41	795	18143
42	812	18087
43	829	18028
44	846	17955
45	863	17901
46	882	17887
47	900	17857
48	917	17813
49	935	17775
50	953	17742
51	971	17704
52	987	17640
53	1004	17603
54	1024	17595
55	1041	17556
56	1059	17533
57	1076	17476
58	1094	17451
59	1113	17437
60	1130	17398
61	1148	17378
62	1166	17342
63	1182	17292
64	1200	17273
65	1219	17260
66	1236	17224
67	1254	17196
68	1271	17161
69	1289	17127
70	1307	17106
71	1325	17080
72	1342	17049
73	1359	17015
74	1377	16985
75	1395	16964
76	1413	16949
77	1430	16909
78	1448	16885
79	1465	16848
80	1483	16825
81	1500	16799
82	1517	16766
83	1533	16725
84	1550	16693
85	1568	16672
86	1585	16642
87	1605	16635
88	1622	16608
89	1639	16582
90	1658	16563
91	1675	16539
92	1695	16535
93	1711	16498
94	1728	16466
95	1747	16451
96	1764	16424
97	1781	16393
98	1800	16382
99	1818	16362
100	1836	16342
101	1853	16319
102	1873	16313
103	1889	16279
104	1906	16253
105	1924	16229
106	1942	16212
107	1959	16185
108	1975	16150
109	1993	16127
110	2009	16095
111	2028	16082
112	2046	16064
113	2064	16041
114	2081	16015
115	2099	16001
116	2116	15970
117	2133	15946
118	2151	15924
119	2169	15910
120	2187	15890
121	2206	15877
122	2224	15858
123	2240	15829
124	2257	15801
125	2273	15772
126	2291	15748
127	2308	15723
128	2325	15701
129	2343	15686
130	2360	15660
131	2377	15636
132	2396	15623
133	2415	15610
134	2433	15595
135	2451	15577
136	2470	15559
