,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
9226,A14-07151_Ratio.24187.24187.2,1289.777928,1,0.142857143,0.003009,7,11.119955,0.0838,3.6114,0.154895593,0.315914405,0.314745269,0.002181101,0.306290793,0.557102703,0.008403528,1,0,0,0,0
2302,A14-07151_Ratio.13043.13043.2,1189.652561,0,0.0,0.002005,9,12.25966736,0.000892,3.9204,0.883955685,1.134142294,-0.996762674,0.046877298,0.850039175,1.199840569,0.048605806,1,0,0,0,0
3529,A14-07151_Ratio.36631.36631.2,1466.951267,1,0.111111111,0.00347,9,9.21610332,0.00078,5.1307,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
8207,A14-07151_Ratio.16483.16483.2,1617.9041,1,0.1,0.006,10,11.57258568,0.014,6.734,0.250325683,0.334397486,-0.524924146,0.006637142,0.423414129,0.746311523,0.019494964,1,0,0,0,0
9841,A14-07151_Ratio.17860.17860.3,1683.8926,1,0.1,0.005,10,11.22825451,0.013,7.1162,0.115007755,0.229582192,-0.030180986,0.00109884,0.283928063,0.495362045,0.005586861,0,1,0,0,0
10502,A14-07151_Ratio.05398.05398.2,1321.6233,0,0.0,0.003,9,10.88122491,0.012,6.9822,0.236410939,0.396698333,0.531199164,0.004964318,0.314936221,0.602475048,0.009193076,1,0,0,0,0
2554,A14-07151_Ratio.36738.36738.3,1997.0694,0,0.0,0.006,16,9.925773367,0.0037,9.5284,0.378706029,0.70790324,0.907312624,0.007583312,0.551044642,1.087667555,0.021218283,0,1,0,0,1
8432,A14-07151_Ratio.10656.10656.3,1612.980429,2,0.25,0.004736,8,11.76508425,5.7e-05,7.4496,0.259318778,0.476172469,0.330327462,0.005404117,0.348438701,0.639619916,0.008329789,0,1,0,0,0
9838,A14-07151_Ratio.22657.22657.3,1802.0881,1,0.083333333,0.006,12,12.15583658,0.036,7.3307,0.291639097,0.430788923,0.860501539,0.005196277,0.335351429,0.530660618,0.011672361,0,1,0,0,0
11235,A14-07151_Ratio.05722.05722.2,1709.9156,1,0.090909091,0.005,11,10.35671907,0.0082,7.1012,0.307114563,0.559613286,-0.861883675,0.009685775,0.402981578,0.691224436,0.019377333,1,0,0,0,0
7344,A14-07151_Ratio.18230.18230.2,1534.828953,3,0.3,0.003637,10,11.26424578,0.000606,4.1099,0.116506528,0.235359867,0.879837911,0.00051447,0.262629845,0.486150247,0.004263486,1,0,0,0,0
10917,A14-07151_Ratio.07610.07610.2,1588.8031,1,0.1,0.004,10,12.41342774,0.018,8.1882,0.116769805,0.229505485,0.868841166,0.001275197,0.241516295,0.395607329,0.00527696,1,0,0,0,0
5374,A14-07151_Ratio.36276.36276.2,1991.1374,1,0.071428571,0.003,14,9.610542691,1.9e-05,10.2532,0.309862658,0.382811319,-0.9478207,0.009493775,0.451944409,0.662089754,0.019557212,1,0,0,0,0
7812,A14-07151_Ratio.17264.17264.2,1513.8242,1,0.125,0.006,8,10.61333092,0.06,6.6163,0.234170997,0.413645637,-0.279033196,0.002457407,0.449719254,0.820936182,0.016075152,1,0,0,0,0
710,A14-07151_Ratio.34631.34631.3,2257.1746,1,0.058823529,0.004,17,10.45337607,2.0,0.8961,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,0,1,0,0,1
3348,A14-07151_Ratio.03947.03947.2,926.515171,0,0.0,0.001502,7,10.72110086,9.02,4.1088,0.343477366,0.636130444,-0.879858189,0.011861005,0.456071164,0.796994024,0.022423132,1,0,0,0,0
518,A14-07151_Ratio.34716.34716.3,1877.9921,1,0.066666667,0.005,15,9.393213599,0.0038,9.4685,0.551258708,1.105476967,0.68106715,0.008934574,0.602915681,1.243279589,0.014537608,0,1,0,0,1
6309,A14-07151_Ratio.17890.17890.2,1560.77866,0,0.0,0.005135,13,10.87668811,1.44e-05,5.929,0.158538389,0.300232567,0.461917443,0.002288237,0.357226184,0.586180548,0.014229438,1,0,0,0,0
9147,A14-07151_Ratio.09339.09339.3,1756.976767,1,0.090909091,0.004258,11,11.7640599,0.02,4.7239,0.243414421,0.412082437,0.740858071,0.005084932,0.343414186,0.581304571,0.010726925,0,1,0,0,0
2537,A14-07151_Ratio.31346.31346.3,2171.2864,2,0.153846154,0.005,13,12.61526427,0.0051,9.8919,0.924009966,1.313693904,-0.886723178,0.060089245,0.962692462,1.433191588,0.065968244,0,1,0,0,0
2521,A14-07151_Ratio.24695.24695.2,1301.83469,1,0.142857143,0.002257,7,11.90706687,0.0195,4.8189,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
11248,A14-07151_Ratio.02913.02913.2,1106.518162,2,0.285714286,0.001774,7,8.776373358,0.118,2.2076,0.257036422,0.496769672,0.844684126,0.003631251,0.264170785,0.498594574,0.003631251,1,0,0,0,0
1603,A14-07151_Ratio.31156.31156.2,2005.2265,2,0.181818182,0.009,11,10.8400551,0.0028,8.0363,0.392551951,0.789437505,0.468995743,0.002437446,0.431843298,0.878603956,0.006280173,1,0,0,0,0
4586,A14-07151_Ratio.20573.20573.3,1272.791525,0,0.0,0.004594,9,10.56706932,0.00359,6.9704,0.260476977,0.561592928,0.992445895,0.00056034,0.325817427,0.634224305,0.004168355,0,1,0,0,0
6709,A14-07151_Ratio.33066.33066.2,1699.8794,0,0.0,0.002,12,9.551619739,0.00012,6.6295,0.255692525,0.490230357,-0.088958126,0.002092802,0.33831443,0.563874117,0.007125009,1,0,0,0,0
6951,A14-07151_Ratio.23329.23329.2,1594.883,2,0.2,0.004,10,11.91838258,0.011,7.5817,0.158936367,0.300931968,0.666861174,0.001440353,0.26283914,0.521607229,0.002681766,1,0,0,0,0
5753,A14-07151_Ratio.15022.15022.2,1159.641453,0,0.0,0.001461,8,11.70205038,0.00026,5.5054,0.097855577,0.20803355,0.933022866,0.000941344,0.471979421,0.829134603,0.015005094,1,0,0,0,0
7112,A14-07151_Ratio.22513.22513.2,1212.6375,0,0.0,0.003,8,12.59307106,0.046,6.4637,0.234316081,0.473572292,-0.180150218,0.001181821,0.357473449,0.699789914,0.006876886,1,0,0,0,0
695,A14-07151_Ratio.35596.35596.2,1502.8854,0,0.0,0.004,10,9.469862418,0.026,6.5322,0.756599222,1.533222791,0.999578834,0.020405972,0.993750197,1.796706906,0.036333911,1,0,0,0,1
10090,A14-07151_Ratio.12723.12723.2,1345.800511,1,0.125,0.0034,8,13.22298888,0.0201,4.7156,0.192968824,0.390624125,-0.705525277,0.002498241,0.364758603,0.675377778,0.013065013,1,0,0,0,0
9564,A14-07151_Ratio.33911.33911.3,2161.1944,2,0.133333333,0.009,15,10.54947213,0.0014,10.3232,0.175799159,0.310853233,-0.908404905,0.003131411,0.327597162,0.564080385,0.009916796,0,1,0,0,0
