,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Name,Charge2,Charge3,Charge4,Charge5,y
9226,-0.7875678365886648,0.06506699055649245,0.7326224978597439,-0.6155749023278809,-1.0181489346793613,0.06283910933966246,0.0019090290657768766,-1.1350091567659428,-0.6942965498511159,-0.6803103113364606,0.40915607484148525,-0.3766258918320822,-0.548544111587054,-0.5884677619959502,-0.41338521695841424,A14-07151_Ratio.24187.24187.2,1,0,0,0,0
2302,-0.986586479358862,-1.2512062282420597,-1.2150597319032352,-0.9767037311818038,-0.5636226822473783,1.149453614409458,-0.156495543201986,-1.0201939018704556,1.8662558489067163,1.1360533996971598,-1.558498966047002,1.347322893687424,1.0338832794361008,0.7095149154999627,1.0728323307107477,A14-07151_Ratio.13043.13043.2,1,0,0,0,0
3529,-0.43540136250378997,0.06506699055649245,0.29980422154935404,-0.44975778071268324,-0.5636226822473783,-1.7523143658665694,-0.15670953114155745,-0.570482241676253,-0.0019759470061169607,-0.0027937287731455603,-0.005289136476138013,0.0003325013699504451,-0.002079870518242099,-0.0030894378896448413,0.0011252070135694592,A14-07151_Ratio.36631.36631.2,1,0,0,0,0
8207,-0.13535324436829005,0.06506699055649245,0.14831782756747275,0.460258092793716,-0.3363595560313868,0.4943822596899886,-0.13145131184571357,0.025256587365608124,-0.35913385401235387,-0.6392801801861704,-0.8505997397709447,-0.2047547487418742,-0.2076894421300177,-0.2063683342497058,-0.0033515663267395983,A14-07151_Ratio.16483.16483.2,1,0,0,0,0
9841,-0.00418826488370885,0.06506699055649245,0.14831782756747275,0.10056802421411155,-0.3363595560313868,0.16609307287301525,-0.13336191844903006,0.16727079584798785,-0.8343877445179114,-0.8719570406823299,-0.10833669979856728,-0.41836909733489325,-0.6136245746495725,-0.7131504807533346,-0.5175131452648812,A14-07151_Ratio.17860.17860.3,0,1,0,0,0
10502,-0.7242689653450564,-1.2512062282420597,-1.2150597319032352,-0.6188121129450973,-0.5636226822473783,-0.16476882727218262,-0.13527252505234652,0.11748036168619055,-0.408004216713953,-0.5009800816699027,0.7339017997072151,-0.26927618673329623,-0.523384014514216,-0.49684017793298124,-0.3841968189196988,A14-07151_Ratio.05398.05398.2,1,0,0,0,0
2554,0.618311542613762,-1.2512062282420597,-1.2150597319032352,0.460258092793716,1.0272192012645622,-1.0757070095299563,-0.15113055985987334,1.0635729248411752,0.09175436015650018,0.18985594013965534,1.2981847302567333,-0.1682606232484907,0.163743423488214,0.4829861286391203,0.06035693641113197,A14-07151_Ratio.36738.36738.3,0,1,0,0,1
8432,-0.14513999820727455,1.3813402093550446,2.1933841667735345,0.005609846109095862,-0.7908858084633698,0.6779125483035059,-0.15809089971575527,0.2911523686057728,-0.327548952812595,-0.3245574266409068,0.4325340351262041,-0.25231297727002366,-0.42588442872380644,-0.4218276451847203,-0.4161112365075446,A14-07151_Ratio.10656.10656.3,0,1,0,0,0
9838,0.23074828213084425,0.06506699055649245,-0.07891177022223723,0.460258092793716,0.1181666964005962,1.050460188014828,-0.08941796657275096,0.24697264754728263,-0.21403585388951157,-0.4253032300297045,1.2279540710668106,-0.2603294426436297,-0.4639712688361333,-0.6418664647991152,-0.29254139400390333,A14-07151_Ratio.22657.22657.3,0,1,0,0,0
11235,0.04753750947284233,0.06506699055649245,0.0243744143095697,0.10056802421411155,-0.1090964298153953,-0.6648385586716181,-0.14253283014494916,0.16169723978510023,-0.15968403567451148,-0.13932923525888793,-1.356140037373443,-0.08716785073700165,-0.2671526597527554,-0.31761444010728457,-0.007700206877652439,A14-07151_Ratio.05722.05722.2,1,0,0,0,0
