,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
838,100104_A549_8plex_IPG400_inj1_4_fr_36.05449.05449.3,1418.8007,0,0.0,0.003,10,8.735526853738264,0.072,8.7823,1.0042923814234033,2.333864259291245,0.795571809248285,0.0229651028599031,1.4294175615024451,3.290054871981996,0.0395405898702209,0,1,0,0,0
9565,100104_A549_8plex_IPG400_inj1_4_fr_32.05955.05955.2,1306.7368,0,0.0,0.003,9,10.25827966944297,0.039,5.4291,0.1330474127495764,0.2877681196854111,0.9885284729845678,0.0008582853754706,0.2369315222672991,0.5100841920218515,0.0012540412549059,1,0,0,0,0
3034,100104_A549_8plex_IPG400_inj1_4_fr_35.03491.03491.2,1340.774265,1,0.1428571428571428,0.010802,7,10.139985599301369,0.00201,2.24,0.2272005560275263,0.5164469846323084,0.9858384726209618,0.0011884162267069,0.461420728932323,1.0810782846629423,0.0016860757355898,1,0,0,0,0
7249,100104_A549_8plex_IPG400_inj1_4_fr_34.09335.09335.3,2401.311362,3,0.1875,0.01821,16,6.563892373526048,3.46e-06,9.326,0.1467128012434385,0.3362685000249102,0.9886828837926096,0.0013158700136961,0.8017914595255063,1.8173515525697,0.0065817283827792,0,1,0,0,0
5258,100104_A549_8plex_IPG400_inj1_4_fr_36.08979.08979.3,2930.6458,1,0.0476190476190476,0.012,21,7.670112590759762,0.39,8.1021,0.4278264465893264,0.8591946496481343,0.9246214780587396,0.0079781096355836,0.9825572049727992,2.22172836829541,0.0135677273835694,0,1,0,0,0
3520,100104_A549_8plex_IPG400_inj1_4_fr_34.04147.04147.3,1266.650259,0,0.0,0.002089,8,9.880536697517488,0.000284,8.672,0.6438386268213597,1.300085432285793,0.8883277023859082,0.007626183342469,0.9879610463298926,2.0533445996695097,0.0086651674320897,0,1,0,0,0
166,100104_A549_8plex_IPG400_inj1_4_fr_35.05611.05611.3,1189.693686,0,0.0,0.002665,7,9.992512618920848,0.0187,1.8054,0.3305884359792865,0.7342389104469782,0.9105540337096064,0.0058717694113205,1.0228132856548895,2.343190477129995,0.0149179224228174,0,1,0,0,0
5844,100104_A549_8plex_IPG400_inj1_4_fr_36.07177.07177.4,2404.3181,1,0.0625,0.006,16,8.745057462578101,0.017,8.8691,0.539774785733299,1.2362718747465244,0.9308435726382712,0.0074990219590049,1.036982750872063,2.3227056496634257,0.0119239270331241,0,0,1,0,1
2540,100104_A549_8plex_IPG400_inj1_4_fr_36.05227.05227.3,1560.8483,1,0.1111111111111111,0.0,9,10.397346877944386,0.061,7.566,0.5615464830670613,1.4678740988545005,0.9960824301895757,0.0003427354214703,0.8083590726606934,2.015961420235793,0.0003427354214703,0,1,0,0,1
4652,100104_A549_8plex_IPG400_inj1_4_fr_32.06491.06491.3,2014.9755,1,0.0666666666666666,0.006,15,10.350054112112815,0.0025,12.5142,1.2926000047602553,3.139279955402458,0.9187677305195656,0.0047993630193833,2.1697786814133244,5.2248869486346505,0.0230960169930004,0,1,0,0,1
