,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Name,Charge2,Charge3,Charge4,Charge5,y
7290,-0.5445932584728792,0.47414510655186437,1.0457293473062164,0.2480384414484784,-0.9756381271593331,0.6235568708746917,-0.10325662425107034,-0.8039733966899133,-0.7890301398224494,-0.7346997436235551,0.6027392088535313,-0.44739549913709425,-0.9379706114156574,-0.9774873299064741,-0.6477616435722157,100104_A549_8plex_IPG400_inj1_4_fr_35.05075.05075.2,1,0,0,0,0
1270,2.023949577147307,0.47414510655186437,0.029323364733973692,-1.6757932351326255,1.1662887330852867,-1.2001975679931913,-0.13145190759404915,-1.0453868152297252,0.228643052964754,0.05673422067752443,0.07282073313286487,-0.011117967621514544,0.2465260866148507,0.31164692544306016,0.6922005730641598,100104_A549_8plex_IPG400_inj1_4_fr_32.07639.07639.4,0,0,1,0,0
5263,2.411885425087907,0.47414510655186437,-0.14276653707719977,-0.027109109549963248,2.1182562265273397,-1.6917791056686389,0.2853914277630398,-0.49704910359867954,-0.39102754733949896,-0.5100682619552316,0.2673702051857873,-0.18059110868812886,0.03963405078012829,0.026614922249706557,-0.1134963994977541,100104_A549_8plex_IPG400_inj1_4_fr_36.10044.10044.3,0,1,0,0,0
7816,-1.3115080427329964,-0.8872236484702791,-0.8741486197746862,-0.6632502474583604,-1.2136300005198464,0.2230919870204595,-0.12697635513856825,-1.0859681053951427,0.4646221467703832,-0.2525043787660702,-1.1529996780107357,1.7975433454407335,0.9080273446520787,0.03599086668571802,1.5563280770753045,100104_A549_8plex_IPG400_inj1_4_fr_36.03523.03523.2,1,0,0,0,0
9306,1.0483936520513808,1.8355138615740079,1.173721211778276,-0.027109109549963248,0.6903049863642601,-0.2751191963099658,-0.019601438167315684,0.35666658802250145,0.5850642396845247,0.3883391262485414,-5.3126355530435845,2.2972419146874925,0.3268665835137432,0.2626214025650175,2.072764401304215,100104_A549_8plex_IPG400_inj1_4_fr_32.05019.05019.4,0,0,1,0,1
3699,1.1145103419909872,0.47414510655186437,0.08579036376576506,2.449218849436011,0.9282968597247734,-2.3571574179304666,-0.12643608206177737,1.2894328225681386,-0.15629817277777847,-0.3122909435824685,0.08898160533409369,0.2237128169828404,-0.005397532886318883,-0.08269573881371875,0.33795852174853924,100104_A549_8plex_IPG400_inj1_4_fr_33.09740.09740.4,0,0,1,0,0
3404,0.1069097076120902,-0.8872236484702791,-0.8741486197746862,-0.9659125535566461,0.21432123964323346,-0.18206618233043645,-0.13235991492633323,0.3766932284294128,-0.13692846920753926,-0.16565262910696985,-0.22691655915128311,0.310354248729497,-0.2536411864213454,-0.25096154516526975,0.1653860342330451,100104_A549_8plex_IPG400_inj1_4_fr_33.05213.05213.3,0,1,0,0,0
3523,0.2880156448848679,1.8355138615740079,1.3199976283177728,-1.3467167641384892,0.45231311300374677,0.597229528989645,-0.13288379507228448,-0.233195287616095,-0.702388769574363,-0.6663588868406781,0.44191816173249227,-0.31265672889303575,-0.7576781964407756,-0.8268458016559755,-0.36635828774085427,100104_A549_8plex_IPG400_inj1_4_fr_35.05451.05451.2,1,0,0,0,0
5364,-0.8789381208695876,0.47414510655186437,1.3199976283177728,-0.027109109549963248,-1.2136300005198464,2.6677786976803404,0.3551040828328354,-1.7684956222386006,-1.0604319074181892,-1.0049057585980214,0.568163388508715,-0.43348310671085705,-1.0414845998595799,-1.1188877463228928,-0.6360669136678785,100104_A549_8plex_IPG400_inj1_4_fr_32.04106.04106.2,1,0,0,0,0
6719,-0.7662761063432715,-0.8872236484702791,-0.8741486197746862,-0.07856170158667197,-0.7376462537988198,0.599570844683292,-0.132525482482124,0.10646558527400722,-0.4330224563267098,-0.41317923058742634,0.16020499640959288,-0.16324013352695807,-0.5226407390898573,-0.574713691968759,-0.1925022919737016,100104_A549_8plex_IPG400_inj1_4_fr_36.03545.03545.3,0,1,0,0,0
5088,0.973821125841179,0.47414510655186437,0.029323364733973692,-0.43377718992566,1.1662887330852867,-0.9869567462018016,-0.1328837410449768,0.7221244892333711,1.143847276831091,1.1592362403092102,-0.49743917136092136,0.01571870097532957,0.9599042874524376,1.0967667445736173,0.2524648161366306,100104_A549_8plex_IPG400_inj1_4_fr_33.09131.09131.3,0,1,0,0,0
5710,0.5458619755535392,0.47414510655186437,0.40577002494591496,0.2480384414484784,-0.02367063371727985,0.35178719246611245,-0.1318388128296865,1.109230773859621,-0.11805647415605923,-0.3482750025553392,0.344991510869511,-0.2192436046399151,-0.15118099388208714,-0.22526557702264688,0.15415609167821517,100104_A549_8plex_IPG400_inj1_4_fr_32.05523.05523.3,0,1,0,0,0
2327,-0.6917180539827145,-0.8872236484702791,-0.8741486197746862,-0.36994295809402145,-0.02367063371727985,-0.45666115963978776,-0.1327762737587376,-0.5502271882949981,-0.6031236375098609,-0.597591809722903,0.30825378866613573,-0.2692329492863497,-0.8668807267384937,-0.9701825873283672,-0.5142096080054605,100104_A549_8plex_IPG400_inj1_4_fr_36.01599.01599.2,1,0,0,0,0
6534,-0.5893046596665383,-0.8872236484702791,-0.8741486197746862,-1.1276993135437297,-0.26166250707779315,-1.4156642937406378,-0.12835318007619673,1.2572619670745502,-0.19805524707804537,-0.27790859607847246,-0.19424277796815373,-0.05071996947082686,-0.35703632598064766,-0.4575769986592838,-0.30988416316511636,100104_A549_8plex_IPG400_inj1_4_fr_33.09243.09243.3,0,1,0,0,0
1728,0.10297665238521585,-0.8872236484702791,-0.8741486197746862,-0.5774042115468465,0.45231311300374677,-0.11225663061946528,-0.1318388128296865,0.6127888384995925,-0.43964240894226275,-0.5627727327332085,-0.013741480588684506,-0.12623149622843438,-0.3669141413776464,-0.4356318916121168,-0.10987430940819534,100104_A549_8plex_IPG400_inj1_4_fr_35.08052.08052.3,0,1,0,0,0
