,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Name,Charge2,Charge3,Charge4,Charge5,y
838,-0.806548435967507,-0.8872236484702791,-0.8741486197746862,-0.8525517625452881,-0.49965438043830646,-0.3877901071786689,-0.007401723530101476,0.6584616474125299,1.0978485303228256,1.0731196996825567,-1.2206291783684484,0.9816394221414971,0.5650396044431216,0.664837456735759,1.63585202557928,100104_A549_8plex_IPG400_inj1_4_fr_36.05449.05449.3,0,1,0,0,0
9565,-1.0451123481999187,-0.8872236484702791,-0.8741486197746862,-0.8525517625452881,-0.7376462537988198,0.4481970261954892,-0.06491466396268279,-0.6061961795640309,-0.9589853081062871,-0.9257505120076183,0.52241625159887,-0.41672523902238423,-1.1479943128164174,-1.2416385907668714,-0.6287174350312623,100104_A549_8plex_IPG400_inj1_4_fr_32.05955.05955.2,1,0,0,0,0
3034,-0.9726526996166212,0.47414510655186437,1.3199976283177728,1.2941494303445535,-1.2136300005198464,0.38325390504481627,-0.1293814417384762,-1.8089637675429617,-0.736708706172701,-0.702349782033351,0.49811653191257743,-0.39584284307127643,-0.8255103487085228,-0.8500565612393715,-0.6031634969963219,100104_A549_8plex_IPG400_inj1_4_fr_35.03491.03491.2,1,0,0,0,0
7249,1.2850402677700605,3.1968826165961515,2.0056683308466674,3.332442488141009,0.9282968597247734,-1.5800115006481825,-0.1328784725110699,0.8635178505996818,-0.9267240790833645,-0.878369568541812,0.5238110987530613,-0.3877807657603875,-0.3365598815630057,-0.34512772878821596,-0.3135958583466593,100104_A549_8plex_IPG400_inj1_4_fr_34.09335.09335.3,0,1,0,0,0
5258,2.4118981980100824,0.47414510655186437,-0.14276653707719977,1.6237761964406865,2.1182562265273397,-0.9726996252419473,0.5468138842747731,0.40192453244490023,-0.2630713993190254,-0.36751307301220093,-0.05487811746553228,0.033638575038610154,-0.07688568594011226,-0.06781015889301706,0.09961140533228664,100104_A549_8plex_IPG400_inj1_4_fr_36.08979.08979.3,0,1,0,0,0
3520,-1.130449392946933,-0.8872236484702791,-0.8741486197746862,-1.1032111815048686,-0.9756381271593331,0.24081716716953375,-0.1323895428047379,0.6168620534976089,0.2468898375193248,0.06320151315233627,-0.38273256207413464,0.01137751046102418,-0.06912294220675322,-0.18328606084681248,-0.1903647859531363,100104_A549_8plex_IPG400_inj1_4_fr_34.04147.04147.3,0,1,0,0,0
166,-1.2942761125852746,-0.8872236484702791,-0.8741486197746862,-0.9447261921297662,-1.2136300005198464,0.3022916419335837,-0.10029383641060402,-1.972872956259416,-0.4926307515052361,-0.48958470984009395,-0.18195429151043793,-0.09959777777751459,-0.019056890201264214,0.01548733875383365,0.1794726245419439,100104_A549_8plex_IPG400_inj1_4_fr_35.05611.05611.3,0,1,0,0,0
5844,1.291441072849465,0.47414510655186437,0.08579036376576506,-0.027109109549963248,0.9282968597247734,-0.3825578289775358,-0.10325662425107034,0.6911982272113983,0.0012160747971834147,0.0008608358018606139,0.001328251942365252,0.0033339291076192505,0.0012978759828464303,0.0014390492579177815,0.002384044611913529,100104_A549_8plex_IPG400_inj1_4_fr_36.07177.07177.4,0,0,1,0,1
2540,-0.5041546126289947,0.47414510655186437,0.832409573186116,-1.677994415540613,-0.7376462537988198,0.524544543522287,-0.026572703674295244,0.1997346657378339,0.05261466578621696,0.2271174509088165,0.5906538046815302,-0.4493363028829493,-0.32712535261604153,-0.2089230708640891,-0.6826192735179257,100104_A549_8plex_IPG400_inj1_4_fr_36.05227.05227.3,0,1,0,0,1
4652,0.46260061794169494,0.47414510655186437,0.14978629600179408,-0.027109109549963248,0.6903049863642601,0.49858094435561995,-0.12852746171387122,2.0659460039954447,1.7784847427292554,1.859945602836135,-0.10775707846521443,-0.1674327432558004,1.6285855644788887,1.9917259151891924,0.6631898536842227,100104_A549_8plex_IPG400_inj1_4_fr_32.06491.06491.3,0,1,0,0,1
