,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
4435,A14-07151_Ratio.30304.30304.3,1902.995505,2,0.153846154,0.003975,13,10.26212971,0.000693,5.5775,0.242776514,0.511425985,0.681822739,0.005104449,0.774945279,1.170860224,0.04240856,0,1,0,0,0
2877,A14-07151_Ratio.23397.23397.2,1501.8799,1,0.1,0.004,10,11.49327012,0.0075,7.7103,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
6637,A14-07151_Ratio.08352.08352.3,1246.610739,1,0.125,0.002759,8,11.4708262,4.17e-07,9.4061,0.132032294,0.252861872,0.392294198,0.001177495,0.411485979,0.694082765,0.013777572,0,1,0,0,0
6468,A14-07151_Ratio.31011.31011.2,2102.2623,2,0.166666667,0.007,12,9.438054311,0.0099,8.0872,0.151926086,0.284018227,0.808609159,0.002180354,0.306983101,0.568532953,0.011061008,1,0,0,0,0
9205,A14-07151_Ratio.10451.10451.2,1294.688206,2,0.285714286,0.003757,7,12.42023183,0.0592,2.4437,0.208415171,0.386922511,0.211807105,0.003615982,0.327546236,0.629266961,0.011308848,1,0,0,0,0
7760,A14-07151_Ratio.05017.05017.3,1839.8377,0,0.0,0.004,14,10.42621037,0.015,9.1306,0.281996977,0.532178104,0.632331089,0.00710567,0.403010665,0.668783925,0.015295652,0,1,0,0,0
8484,A14-07151_Ratio.22462.22462.2,1343.859593,1,0.111111111,0.005361,9,11.420341,0.00214,5.7982,0.147358266,0.281421477,0.092863251,0.00181281,0.253430978,0.478196162,0.002996391,1,0,0,0,0
1593,A14-07151_Ratio.23752.23752.2,1498.8579,0,0.0,0.002,11,10.56553805,0.016,5.7164,0.666743302,0.831947629,0.980314077,0.039390841,0.991538425,1.353476089,0.059408003,1,0,0,0,0
4023,A14-07151_Ratio.24688.24688.2,1678.8991,1,0.1,0.002,10,10.6441069,0.00052,8.5237,0.334137488,0.623046014,-0.493930501,0.004549109,0.324826962,0.603173516,0.004549109,1,0,0,0,0
10268,A14-07151_Ratio.09471.09471.2,1163.58347,1,0.125,0.002707,8,11.07578011,0.137,2.8367,0.257036422,0.496769672,0.844684126,0.003631251,0.264170785,0.498594574,0.003631251,1,0,0,0,0
11136,A14-07151_Ratio.27472.27472.2,1501.917,1,0.111111111,0.005,9,10.02000163,0.62,2.5561,0.298755642,0.522806571,-0.47247961,0.004034656,0.473046696,0.695788837,0.015869677,1,0,0,0,0
9661,A14-07151_Ratio.15030.15030.2,1628.7146,2,0.181818182,0.002,11,10.75987213,0.0024,8.9175,0.203460133,0.395440671,0.073916534,0.002743095,0.417338544,0.771479411,0.016400659,1,0,0,0,0
5789,A14-07151_Ratio.23515.23515.3,2015.1084,0,0.0,0.008,15,11.62457986,0.0013,9.1898,0.334880904,0.556704882,-0.978987712,0.009007789,0.458175752,0.794828552,0.021455316,0,1,0,0,0
778,A14-07151_Ratio.13198.13198.3,1340.857413,1,0.125,0.002847,8,11.03373783,7.22e-05,4.2141,0.753682581,1.553649159,-0.834719893,0.019318018,0.889340217,1.678127131,0.031519299,0,1,0,0,1
299,A14-07151_Ratio.07425.07425.3,1562.849081,1,0.1,0.00323,10,10.97913584,4.07e-06,8.8686,0.570494579,1.236612998,0.773537674,0.001352596,0.598199344,1.238539312,0.004957158,0,1,0,0,1
5405,A14-07151_Ratio.35431.35431.2,2085.1224,1,0.066666667,0.004,15,9.967806406,0.00017,11.2422,0.288126403,0.574573677,-0.340297503,0.001304372,0.341976586,0.653538533,0.003889044,1,0,0,0,0
4887,A14-07151_Ratio.14489.14489.2,1574.9327,2,0.285714286,0.005,7,12.38900841,1.7,2.1703,0.346528447,0.60625582,-0.998793204,0.013560764,0.470115611,0.778714858,0.023841199,1,0,0,0,0
6359,A14-07151_Ratio.12341.12341.4,2596.309029,3,0.1875,0.004261,16,10.7779858,7.76e-09,5.9504,0.225173452,0.461667531,-0.390974875,0.000983069,0.333134687,0.599590824,0.006632633,0,0,1,0,0
11589,A14-07151_Ratio.34560.34560.3,2628.418,2,0.105263158,0.009,19,10.76332509,0.00054,9.9197,0.235029511,0.450936936,-0.520079843,0.005546976,0.343289328,0.64319033,0.01151648,0,1,0,0,0
10068,A14-07151_Ratio.06024.06024.2,1121.573094,1,0.125,0.002896,8,11.91032173,0.0345,3.0192,0.253245335,0.395538381,-0.703168382,0.006382992,0.37304546,0.616245686,0.016605498,1,0,0,0,0
12292,A14-07151_Ratio.10537.10537.3,1365.806357,1,0.142857143,0.004161,7,11.7312048,0.0145,4.2368,0.193251032,0.31984267,-0.815170854,0.003586378,0.25349705,0.407837678,0.006641359,0,1,0,0,0
10592,A14-07151_Ratio.16841.16841.2,1331.824436,1,0.111111111,0.006591,9,11.72114599,0.000989,5.1518,0.181006043,0.295167261,0.806218127,0.002457648,0.30724769,0.537178131,0.009469124,1,0,0,0,0
7624,A14-07151_Ratio.04603.04603.2,1056.54282,0,0.0,0.002542,7,10.26629488,0.0118,3.4788,0.12876613,0.238622329,0.91982486,0.000636358,0.24872215,0.469732808,0.004103178,1,0,0,0,0
5320,A14-07151_Ratio.20218.20218.3,1881.1131,1,0.071428571,0.004,14,11.00308829,0.0098,8.7464,0.326869534,0.624482155,0.278219696,0.008291326,0.290404318,0.574623257,0.008291326,0,1,0,0,0
345,A14-07151_Ratio.15311.15311.3,1222.700461,0,0.0,0.001951,8,11.62160471,0.00134,6.657,1.851965063,2.851220986,0.253945261,0.236002069,2.531694108,3.533995549,0.250640207,0,1,0,0,1
8164,A14-07151_Ratio.15663.15663.2,1247.658787,0,0.0,0.002751,9,11.36210527,5.23e-05,5.7165,0.256954146,0.405715542,-0.529261506,0.003926124,0.375997886,0.635961723,0.011095837,1,0,0,0,0
668,A14-07151_Ratio.16681.16681.3,1705.926413,2,0.2,0.003691,10,10.53105298,3.99e-06,7.0161,0.785849079,1.141185972,-0.960420687,0.024925911,0.80440881,1.213803357,0.028181383,0,1,0,0,0
4637,A14-07151_Ratio.10238.10238.3,1589.96279,2,0.25,0.003082,8,12.31029192,0.034,2.6688,0.43632624,0.679870714,-0.89202287,0.023126349,0.598713203,0.940176612,0.037775892,0,1,0,0,0
11378,A14-07151_Ratio.23637.23637.2,1876.0063,0,0.0,0.006,15,11.52052275,0.0076,7.8174,0.261380263,0.503442333,0.857679438,0.003967551,0.39615718,0.728847732,0.016970547,1,0,0,0,0
10902,A14-07151_Ratio.13203.13203.2,1358.784519,1,0.125,0.003393,8,11.50817537,0.00739,3.7559,0.15141289,0.230500825,-0.180225118,0.002463596,0.26262474,0.459606327,0.007635773,1,0,0,0,0
8842,A14-07151_Ratio.26825.26825.3,2060.1538,1,0.071428571,0.008,14,11.44517977,0.0014,9.1351,0.111869109,0.222246116,0.929221352,0.000340417,0.44319472,0.797668492,0.01175741,0,1,0,0,0
5347,A14-07151_Ratio.04300.04300.2,1026.497044,0,0.0,0.003716,8,11.04066564,2.58e-06,6.845,0.05166269,0.112915463,0.991617831,0.000206072,0.147242567,0.261989311,0.001287255,1,0,0,0,0
1221,A14-07151_Ratio.29406.29406.3,2235.2726,1,0.0625,0.006,16,9.546929893,0.045,7.0766,0.406921307,0.837665983,0.912371213,0.011761937,0.699019869,1.308911043,0.032783483,0,1,0,0,1
8601,A14-07151_Ratio.38808.38808.2,1728.049,1,0.090909091,0.005,11,9.976824837,0.0037,7.7941,0.164904262,0.286613952,-0.163589232,0.001122916,0.17588194,0.305051819,0.001122916,1,0,0,0,0
2780,A14-07151_Ratio.15042.15042.2,1315.7301,0,0.0,0.0,9,11.00894006,1.5,2.3419,0.566924449,0.978099955,-0.355039688,0.022799478,0.623037768,1.087667051,0.029151194,1,0,0,0,0
12018,A14-07151_Ratio.18215.18215.2,1112.677342,0,0.0,0.001692,8,10.73082061,0.000869,4.0727,0.181544842,0.298074032,-0.325019744,0.003383544,0.275284577,0.485054144,0.004495541,1,0,0,0,0
6061,A14-07151_Ratio.07393.07393.3,2925.5434,3,0.157894737,0.01,19,10.99093319,0.023,8.4122,0.289657374,0.547038858,0.690711394,0.007783767,0.387626947,0.669922877,0.014544854,0,1,0,0,0
12054,A14-07151_Ratio.10825.10825.2,1559.8596,1,0.083333333,0.003,12,12.40946583,0.0018,8.9218,0.25115083,0.398459637,0.758115585,0.003332691,0.279628621,0.473789142,0.005551314,1,0,0,0,0
10280,A14-07151_Ratio.08983.08983.3,1986.9955,1,0.058823529,0.005,17,11.10244186,0.00046,11.9339,0.284533701,0.519992683,0.716486901,0.004857188,0.325171299,0.59205487,0.007934323,0,1,0,0,0
8329,A14-07151_Ratio.26952.26952.2,1232.791233,1,0.142857143,0.001393,7,10.68119716,0.000739,2.2151,0.101852305,0.198720259,0.982200855,0.000954094,0.184925435,0.362363124,0.002579658,1,0,0,0,0
10618,A14-07151_Ratio.07072.07072.2,1244.6708,0,0.0,0.003,10,12.28475327,0.099,6.383,0.226000346,0.3728633,0.883398361,0.003744665,0.354041049,0.620023254,0.010344401,1,0,0,0,0
1769,A14-07151_Ratio.40070.40070.3,2235.3198,1,0.058823529,0.007,17,10.5069526,0.00017,12.1311,0.497082362,0.78234252,0.963053994,0.02386535,0.801599374,1.229272846,0.044769199,0,1,0,0,0
1566,A14-07151_Ratio.39643.39643.2,1550.0246,1,0.1,0.003,10,10.58131254,2.6e-05,10.3681,0.377868765,0.77850173,0.893470359,0.002579469,0.421298319,0.842479424,0.006551947,1,0,0,0,0
4338,A14-07151_Ratio.22543.22543.2,1505.873509,1,0.1,0.002839,10,11.03517973,0.00246,5.562,0.333461296,0.646401761,-0.799800815,0.010198855,0.529754624,0.896943454,0.032256762,1,0,0,0,0
5170,A14-07151_Ratio.33728.33728.2,2119.203,1,0.066666667,0.006,15,10.31908626,0.00015,8.2686,0.198527611,0.334137715,0.850744505,0.002667037,0.48333749,0.853207126,0.016955091,1,0,0,0,0
248,A14-07151_Ratio.31351.31351.3,2050.0719,0,0.0,0.0,16,10.25164779,0.006,10.2402,1.575236422,2.299001432,0.982329756,0.12856296,1.821544047,2.566420636,0.152974825,0,1,0,0,0
10378,A14-07151_Ratio.13659.13659.2,1102.619969,0,0.0,0.00144,8,11.1947139,0.00532,4.6389,0.200624291,0.383646768,0.652777134,0.003670154,0.345176754,0.644284503,0.010156938,1,0,0,0,0
5069,A14-07151_Ratio.10229.10229.3,2099.2243,2,0.142857143,0.005,14,12.21147832,8.9e-05,12.5864,0.33278538,0.558227845,0.725138349,0.007209953,0.381499901,0.65344207,0.01230141,0,1,0,0,0
11200,A14-07151_Ratio.12813.12813.3,1424.840018,1,0.125,0.000708,8,10.98423484,5.24e-05,7.0024,0.314046014,0.53113618,0.129137091,0.005178384,0.394932826,0.664969958,0.010920102,0,1,0,0,0
5556,A14-07151_Ratio.14531.14531.2,1318.78928,1,0.125,0.003069,8,12.23077509,0.0198,5.2083,0.262314427,0.529206321,-0.831418289,0.006526507,0.490119902,0.889261782,0.023228893,1,0,0,0,0
6105,A14-07151_Ratio.15195.15195.3,1558.893271,2,0.2,0.002577,10,10.38237085,0.00051,5.9233,0.219429069,0.395541245,0.441623225,0.004496831,0.524211519,0.877794076,0.022223262,0,1,0,0,0
3709,A14-07151_Ratio.07483.07483.2,1286.6786,1,0.142857143,0.003,7,12.21259133,0.051,2.595,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
6891,A14-07151_Ratio.15562.15562.2,973.578343,0,0.0,0.002408,7,12.77285262,0.128,2.2551,0.14625736,0.242424635,0.917760173,0.000940126,0.16711064,0.319793476,0.001528596,1,0,0,0,0
11509,A14-07151_Ratio.27673.27673.2,1942.0484,1,0.071428571,0.003,14,9.978677865,0.00011,10.5781,0.316069601,0.505382272,-0.442826674,0.007656338,0.367119182,0.580109746,0.014036912,1,0,0,0,0
7044,A14-07151_Ratio.26513.26513.2,1720.9287,2,0.2,0.006,10,10.54837239,0.011,6.5456,0.304281006,0.563117948,-0.302643479,0.004199428,0.394882173,0.663270116,0.013559864,1,0,0,0,0
4502,A14-07151_Ratio.32011.32011.3,2908.6153,2,0.1,0.011,20,11.31154019,0.004,9.6449,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,0,1,0,0,0
10537,A14-07151_Ratio.17834.17834.2,1240.794895,1,0.111111111,0.003993,9,11.25487659,0.00128,0.9948,0.296105324,0.508105279,-0.424972269,0.004134701,0.361677704,0.553021234,0.013748953,1,0,0,0,0
10257,A14-07151_Ratio.30209.30209.2,1502.891819,1,0.111111111,0.005559,9,11.34105229,0.000786,5.6408,0.2736791,0.522625249,0.781930516,0.001739511,0.351921988,0.695485452,0.004307459,1,0,0,0,0
1163,A14-07151_Ratio.39025.39025.3,1933.068,0,0.0,0.011,16,9.855192099,0.00051,9.3833,0.481761263,0.970905261,0.655148524,0.015451132,0.67573768,1.267566154,0.033887224,0,1,0,0,0
4912,A14-07151_Ratio.16833.16833.3,2096.155661,3,0.25,0.001199,12,11.22339524,3.31e-05,6.233,0.269433465,0.571463136,-0.826463167,0.007058465,0.36412438,0.704750417,0.01092308,0,1,0,0,0
